,index,algo,cell,dset,measure,rel value,split,value
263,2,oopsi,2.0,4,corr,-0.1201929949592232,test,0.19821506642555525
264,0,stm,0.0,5,corr,,test,0.3420315062593852
265,1,stm,1.0,5,corr,,test,0.3871816041162019
266,2,stm,2.0,5,corr,,test,0.4070990445400926
267,3,stm,3.0,5,corr,,test,0.4360609962452777
268,4,stm,4.0,5,corr,,test,0.4025427167845115
269,5,stm,5.0,5,corr,,test,0.11885055619296231
270,6,stm,6.0,5,corr,,test,0.23133599684688402
271,7,stm,7.0,5,corr,,test,0.21629251728740237
272,0,chenkov,0.0,5,corr,0.1689855943812088,test,0.511017100640594
273,1,chenkov,1.0,5,corr,0.09716329735506268,test,0.4843449014712646
274,2,chenkov,2.0,5,corr,0.07321710705134082,test,0.4803161515914334
275,3,chenkov,3.0,5,corr,0.052546975672472684,test,0.4886079719177504
276,4,chenkov,4.0,5,corr,0.0931557406093802,test,0.4956984573938917
277,5,chenkov,5.0,5,corr,0.1824579812466739,test,0.3013085374396362
278,6,chenkov,6.0,5,corr,0.27120736636923537,test,0.5025433632161194
279,7,chenkov,7.0,5,corr,0.19366546171218438,test,0.40995797899958675
280,0,deneux,0.0,5,corr,0.175533292153021,test,0.5175647984124062
281,1,deneux,1.0,5,corr,0.10467170969400524,test,0.49185331381020714
282,2,deneux,2.0,5,corr,0.021757092711422066,test,0.42885613725151467
283,3,deneux,3.0,5,corr,0.05581748989397317,test,0.4918784861392509
284,4,deneux,4.0,5,corr,0.07415329107281604,test,0.4766960078573275
285,5,deneux,5.0,5,corr,0.16314104407653723,test,0.28199160026949954
286,6,deneux,6.0,5,corr,0.13609427681396877,test,0.3674302736608528
287,7,deneux,7.0,5,corr,0.2337446316014655,test,0.45003714888886787
288,0,friedrich,0.0,5,corr,0.1831004309417919,test,0.5251319372011771
289,1,friedrich,1.0,5,corr,0.10152942298695655,test,0.48871102710315845
290,2,friedrich,2.0,5,corr,0.03445701682195096,test,0.44155606136204356
291,3,friedrich,3.0,5,corr,0.03796922953389292,test,0.47403022577917064
292,4,friedrich,4.0,5,corr,0.08427260995129243,test,0.4868153267358039
293,5,friedrich,5.0,5,corr,-0.034898763630843044,test,0.08395179256211927
294,6,friedrich,6.0,5,corr,0.17307476761310966,test,0.4044107644599937
295,7,friedrich,7.0,5,corr,0.17888584021823825,test,0.3951783575056406
296,0,machado,0.0,5,corr,0.05847534620424921,test,0.40050685246363443
297,1,machado,1.0,5,corr,0.035879802545073614,test,0.4230614066612755
298,2,machado,2.0,5,corr,-0.02919327060737481,test,0.3779057739327178
299,3,machado,3.0,5,corr,-0.02421069481894217,test,0.41185030142633555
300,4,machado,4.0,5,corr,0.0315918327190875,test,0.434134549503599
301,5,machado,5.0,5,corr,-0.06578603781044026,test,0.053064518382522054
302,6,machado,6.0,5,corr,0.051799963987891856,test,0.2831359608347759
303,7,machado,7.0,5,corr,0.041395574911841065,test,0.25768809219924343
304,0,mineault,0.0,5,corr,0.1510152995957854,test,0.49304680585517063
305,1,mineault,1.0,5,corr,0.07370123519430155,test,0.46088283931050344
306,2,mineault,2.0,5,corr,0.004242676374423993,test,0.4113417209145166
307,3,mineault,3.0,5,corr,0.012556390177484444,test,0.44861738642276217
308,4,mineault,4.0,5,corr,0.07932903402958874,test,0.4818717508141002
309,5,mineault,5.0,5,corr,0.17929746280802206,test,0.29814801900098437
310,6,mineault,6.0,5,corr,0.06945217999967176,test,0.3007881768465558
311,7,mineault,7.0,5,corr,0.24977817179683617,test,0.46607068908423854
312,0,pachitariu,0.0,5,corr,0.1602264340993768,test,0.502257940358762
313,1,pachitariu,1.0,5,corr,0.08446448094051129,test,0.4716460850567132
314,2,pachitariu,2.0,5,corr,0.051249108217856276,test,0.4583481527579489
315,3,pachitariu,3.0,5,corr,0.04344247279061597,test,0.4795034690358937
316,4,pachitariu,4.0,5,corr,0.07154837016584348,test,0.47409108695035496
317,5,pachitariu,5.0,5,corr,-0.058183438351907354,test,0.060667117841054954
318,6,pachitariu,6.0,5,corr,0.10135448316217996,test,0.332690480009064
319,7,pachitariu,7.0,5,corr,0.10482695360046287,test,0.32111947088786524
