,index,algo,cell,dset,measure,split,value
447,7,mineault,7,2,corr,test,0.4226953794405008
448,8,mineault,8,2,corr,test,0.8958296596774731
449,9,mineault,9,2,corr,test,0.6030210266515883
450,0,mineault,0,2,corr_bits,test,0.06897505189245973
451,1,mineault,1,2,corr_bits,test,2.212660527221818
452,2,mineault,2,2,corr_bits,test,1.8764889324686393
453,3,mineault,3,2,corr_bits,test,1.5783863393121036
454,4,mineault,4,2,corr_bits,test,1.3244738258425215
455,5,mineault,5,2,corr_bits,test,0.06636345920609
456,6,mineault,6,2,corr_bits,test,0.583298174574795
457,7,mineault,7,2,corr_bits,test,0.2839685304897785
458,8,mineault,8,2,corr_bits,test,2.3401541831772334
459,9,mineault,9,2,corr_bits,test,0.6520721509481198
460,0,mineault,0,2,rank,test,0.23467730544518314
461,1,mineault,1,2,rank,test,0.48247720944654227
462,2,mineault,2,2,rank,test,0.6205689322913438
463,3,mineault,3,2,rank,test,0.7461804470425402
464,4,mineault,4,2,rank,test,0.3796994674959056
465,5,mineault,5,2,rank,test,0.30640635695651
466,6,mineault,6,2,rank,test,0.5384215480689286
467,7,mineault,7,2,rank,test,0.43618153777565616
468,8,mineault,8,2,rank,test,0.5639795456007406
469,9,mineault,9,2,rank,test,0.1527052789276292
470,0,mineault,0,2,auc,test,0.5452298220162061
471,1,mineault,1,2,auc,test,0.9243245462757659
472,2,mineault,2,2,auc,test,0.9311978975238008
473,3,mineault,3,2,auc,test,0.8662750174250722
474,4,mineault,4,2,auc,test,0.8811802232854864
475,5,mineault,5,2,auc,test,0.6416377185950537
476,6,mineault,6,2,auc,test,0.7933553152424747
477,7,mineault,7,2,auc,test,0.6957428230684044
478,8,mineault,8,2,auc,test,0.9334263833992096
479,9,mineault,9,2,auc,test,0.9063258495145632
480,0,pachitariu,0,2,corr,test,0.45394011658458955
481,1,pachitariu,1,2,corr,test,0.81543091832508
482,2,pachitariu,2,2,corr,test,0.8355188021234883
483,3,pachitariu,3,2,corr,test,0.8519055194756051
484,4,pachitariu,4,2,corr,test,0.7109422878812858
485,5,pachitariu,5,2,corr,test,0.17233664813454697
486,6,pachitariu,6,2,corr,test,0.5266956217607606
487,7,pachitariu,7,2,corr,test,0.5288088923394313
488,8,pachitariu,8,2,corr,test,0.874590495151264
489,9,pachitariu,9,2,corr,test,0.45750716840971595
490,0,pachitariu,0,2,corr_bits,test,0.33290107233683175
491,1,pachitariu,1,2,corr_bits,test,1.5774551635256189
492,2,pachitariu,2,2,corr_bits,test,1.7278175256586978
493,3,pachitariu,3,2,corr_bits,test,1.8663997253941025
494,4,pachitariu,4,2,corr_bits,test,1.0157794337930603
495,5,pachitariu,5,2,corr_bits,test,0.043497103713151464
496,6,pachitariu,6,2,corr_bits,test,0.468747367479199
497,7,pachitariu,7,2,corr_bits,test,0.47320770715736543
